iteration,RMP_value
1,1810.0
2,1650.0
3,1375.0
4,1320.0
5,1190.0
6,1080.0
7,1035.0
8,950.0
9,898.7500000000001
10,847.5
11,790.0
12,785.0
13,770.0
14,755.0
15,743.1578947368425
16,719.1666666666666
17,708.9393939393941
18,694.8737373737374
19,673.8066893424036
20,668.0
21,650.4328165374676
22,645.2083333333333
23,625.111111111111
24,612.7278562259306
25,592.6803118908383
26,585.3846153846155
27,579.2592592592591
28,575.5555555555555
29,574.6666666666665
30,569.6666666666666
31,563.2773722627736
32,556.0394320949272
33,554.0361278111781
34,551.0416666666667
35,548.6190476190477
36,547.6654975887768
37,543.0392156862745
38,541.2032710280374
39,539.6666666666667
40,537.6388888888889
41,536.1176470588235
42,533.125
43,530.7142857142858
44,522.3046875
45,518.2336182336182
46,515.8536585365854
47,512.2552877520906
48,510.7069097656408
49,508.75475113122155
50,506.85964912280707
51,504.90421455938696
52,504.25324675324674
53,503.55555555555554
54,503.1079136690646
55,500.4528375407053
56,498.2682060390764
57,496.6666666666667
58,495.27559055118115
59,491.0833333333333
60,490.00000000000006
61,488.5826771653542
62,488.24561403508767
63,484.0322580645162
64,483.4662576687117
65,483.21428571428567
66,481.830985915493
67,481.5525114155252
68,480.4477611940299
69,479.99999999999983
70,480.0
71,479.99999999999983
72,479.9999999999999
73,479.99999999999983
74,479.8787878787878
75,479.6923076923076
76,479.48717948717956
77,479.48717948717945
78,479.48717948717945
79,479.3939393939395
80,479.3939393939395
81,479.3939393939393
82,479.3939393939394
83,479.3939393939394
84,479.3939393939394
85,479.3939393939394
86,479.3939393939395
87,479.39393939393943
88,479.04761904761904
89,479.0222222222221
90,479.02222222222207
91,479.02222222222207
92,478.6666666666666
93,478.6666666666666
94,478.6666666666666
95,478.6666666666666
96,478.6666666666666
97,478.6666666666666
98,478.6666666666666
