iteration,RMP_value
1,1840.0
2,1620.0
3,1415.0
4,1333.3333333333333
5,1190.0000000000002
6,1058.3333333333333
7,940.0
8,860.0
9,845.0
10,810.689655172414
11,767.5
12,742.5
13,720.3571428571427
14,691.0044967296514
15,664.0231092436976
16,636.5416666666667
17,623.3841463414635
18,614.5833333333333
19,596.6666666666667
20,573.9206455951581
21,559.4871794871794
22,540.9364548494985
23,528.8214285714288
24,504.6524064171123
25,496.9607843137254
26,489.0
27,486.0
28,482.52577319587624
29,476.07142857142827
30,471.8369829683698
31,464.9999999999999
32,456.9896193771626
33,452.13592233009706
34,443.87096774193543
35,438.33333333333326
36,434.1176470588236
37,428.0639999999999
38,424.01759375458386
39,419.8775153105864
40,412.89610197124654
41,407.97530864197523
42,403.984
43,401.8305597579424
44,397.6744186046511
45,395.29252570547754
46,393.046783625731
47,387.4028154081752
48,385.9422285694857
49,385.13982392542715
50,381.2751322751324
51,376.0
52,372.67942583732065
53,368.14833501513624
54,364.81106976779034
55,361.65280918420603
56,360.85043811058506
57,358.559206952743
58,356.78766561016835
59,356.0575745834948
60,353.4614939200926
61,350.9301679855617
62,348.768932038835
63,347.02564102564094
64,344.6944394618834
65,344.08081397469084
66,341.495935577874
67,340.0381710277852
68,336.2258396925303
69,333.1381609859344
70,332.5976815886311
71,331.5957252553988
72,329.40017758307584
73,327.3704462910736
74,324.1804668144478
75,322.39236452150146
76,321.44300385878546
77,319.8680359569354
78,318.0442533557048
79,317.441751514773
80,314.23948049205427
81,312.906406828948
82,311.42746346640536
83,310.3376850932016
84,310.0734094616639
85,308.94120247568526
86,308.2758620689655
87,307.23587223587225
88,306.4572194549804
89,305.2502720348205
90,304.2857142857143
91,304.2750621375311
92,303.2738281657794
93,302.49202654943537
94,300.61044345071736
95,300.18935851409384
96,300.087974034848
97,299.81621723641683
98,299.6089572192514
99,298.1015169194866
100,298.0597014925374
101,297.84375
102,297.3274478330658
103,296.6766105473952
104,295.37845233729223
105,295.2438780276239
106,295.1530062600088
107,294.5387497309514
108,294.22642199686845
109,294.14390156336685
110,293.86907718287466
111,293.3609366076527
112,293.3609366076527
113,293.0337521442811
114,292.81123335263453
115,292.02363724071404
116,291.99928596929664
117,290.79226719599546
118,290.31385457745336
119,290.31385457745336
120,290.0928417400205
121,289.7104351817082
122,289.54166666666663
123,289.5366795366795
124,289.4111933049391
125,288.94414709723685
126,288.5292409306648
127,288.504437026785
128,288.3387096774194
129,288.33545108005086
130,288.2244254168544
131,288.1466738115288
132,287.7005743383267
133,287.18613261528105
134,287.17006802721085
135,286.9422776911076
136,286.70323488045005
137,286.6103603603604
138,286.49181322013345
139,286.3802083333333
140,285.75159766601837
141,285.64526588845655
142,285.52215189873414
143,285.52215189873425
144,285.4942767950052
145,285.0413223140496
146,285.0413223140496
147,284.9833518312986
148,284.8
149,284.80000000000007
150,284.8
151,284.80000000000007
152,284.8
153,284.79797979797985
154,284.79768786127164
155,284.6666666666667
156,284.6666666666667
157,284.66666666666674
158,284.6666666666667
159,284.6666666666667
160,284.6666666666667
161,284.6666666666667
162,284.48516579406635
163,284.47619047619054
164,284.47619047619054
165,284.4545454545455
166,284.4357976653697
167,284.43579766536965
168,284.37728937728934
169,284.3772893772894
170,284.375
171,284.3706950532247
172,284.0
173,284.0
174,284.0
175,284.0
176,284.0
177,284.0
178,284.0
179,284.0
180,284.0
181,284.0
182,284.0
183,284.0
184,284.0
185,284.0
186,284.0
187,284.0
188,284.0
189,284.0
190,284.0
191,284.0
192,284.0
193,284.0
