ID	Origin	destination	SP_time
1	1	2	6
2	1	3	4
3	1	4	8
4	1	5	10
5	1	6	11
6	1	7	16
7	1	8	13
8	1	9	15
9	1	10	18
10	1	11	14
11	1	12	8
12	1	13	11
13	1	14	18
14	1	15	23
15	1	16	18
16	1	17	20
17	1	18	18
18	1	19	22
19	1	20	22
20	1	21	18
21	1	22	20
22	1	23	17
23	1	24	15
24	2	1	6
25	2	3	10
26	2	4	11
27	2	5	9
28	2	6	5
29	2	7	10
30	2	8	7
31	2	9	14
32	2	10	16
33	2	11	17
34	2	12	14
35	2	13	17
36	2	14	21
37	2	15	19
38	2	16	12
39	2	17	14
40	2	18	12
41	2	19	16
42	2	20	16
43	2	21	22
44	2	22	21
45	2	23	23
46	2	24	21
47	3	1	4
48	3	2	10
49	3	4	4
50	3	5	6
51	3	6	10
52	3	7	15
53	3	8	12
54	3	9	11
55	3	10	14
56	3	11	10
57	3	12	4
58	3	13	7
59	3	14	14
60	3	15	19
61	3	16	17
62	3	17	19
63	3	18	17
64	3	19	21
65	3	20	20
66	3	21	14
67	3	22	16
68	3	23	13
69	3	24	11
70	4	1	8
71	4	2	11
72	4	3	4
73	4	5	2
74	4	6	6
75	4	7	11
76	4	8	8
77	4	9	7
78	4	10	10
79	4	11	6
80	4	12	8
81	4	13	11
82	4	14	10
83	4	15	15
84	4	16	13
85	4	17	15
86	4	18	13
87	4	19	17
88	4	20	17
89	4	21	18
90	4	22	18
91	4	23	14
92	4	24	15
93	5	1	10
94	5	2	9
95	5	3	6
96	5	4	2
97	5	6	4
98	5	7	9
99	5	8	6
100	5	9	5
