iteration,RMP_value
1,1970.0
2,1645.0
3,1410.0
4,1215.0
5,1155.0
6,1110.0
7,1003.3333333333333
8,965.0
9,950.0
10,920.0
11,918.125
12,869.5
13,825.0
14,791.6666666666665
15,780.169491525424
16,754.1666666666664
17,739.4117647058824
18,719.4140625
19,705.4545454545454
20,700.2864583333334
21,699.0909090909093
22,685.0000000000002
23,671.896551724138
24,666.25
25,660.142857142857
26,651.3636363636364
27,646.5384615384615
28,644.8571428571425
29,641.5384615384615
30,636.498599439776
31,633.7142857142856
32,630.0534759358289
33,623.859649122807
34,622.0000000000001
35,620.3571428571429
36,619.113924050633
37,618.0434782608696
38,616.6666666666669
39,615.7462686567163
40,614.789081885856
41,613.3333333333333
42,612.9411764705883
43,612.7777777777776
44,612.2872340425533
45,611.6346153846152
46,609.0243902439025
47,608.8888888888887
48,608.8888888888887
49,608.8888888888887
50,607.7777777777777
51,607.6960784313727
52,606.71875
53,605.6140350877195
54,605.0
55,605.0
56,605.0
57,605.0
58,605.0
59,605.0
60,605.0
61,605.0
62,602.5
63,602.5
64,602.5
65,602.5
66,602.5
67,602.5
68,602.5
69,602.5
70,602.5
71,602.5
72,602.5
73,602.5
74,602.5
75,602.5
76,602.5
77,602.5
78,602.5
79,602.5
80,602.5
81,602.5
82,602.5
83,602.5
84,602.5
85,602.5
86,602.5
87,602.5
88,602.5
89,602.5
90,602.5
91,602.5
